Density,Waiting Time,Frequency
0.6000000000000001,70,1
0.6000000000000001,71,1
0.6000000000000001,72,1
0.6000000000000001,73,2
0.6000000000000001,74,3
0.6000000000000001,75,2
0.6000000000000001,76,3
0.6000000000000001,77,3
0.6000000000000001,78,2
0.6000000000000001,79,1
0.6000000000000001,80,2
0.6000000000000001,81,3
0.6000000000000001,82,2
0.6000000000000001,83,2
0.6000000000000001,84,1
0.6000000000000001,85,2
0.6000000000000001,86,2
0.6000000000000001,87,2
0.6000000000000001,88,5
0.6000000000000001,89,2
0.6000000000000001,90,5
0.6000000000000001,91,3
0.6000000000000001,92,1
0.6000000000000001,94,2
0.6000000000000001,95,1
0.6000000000000001,97,5
0.6000000000000001,98,1
0.6000000000000001,99,2
0.7000000000000001,1,377
0.7000000000000001,2,269
0.7000000000000001,3,266
0.7000000000000001,4,276
0.7000000000000001,5,276
0.7000000000000001,6,261
0.7000000000000001,7,243
0.7000000000000001,8,216
0.7000000000000001,9,213
0.7000000000000001,10,189
0.7000000000000001,11,178
0.7000000000000001,12,159
0.7000000000000001,13,161
0.7000000000000001,14,132
0.7000000000000001,15,100
0.7000000000000001,16,115
0.7000000000000001,17,82
0.7000000000000001,18,76
0.7000000000000001,19,80
0.7000000000000001,20,52
0.7000000000000001,21,56
0.7000000000000001,22,57
0.7000000000000001,23,45
0.7000000000000001,24,53
0.7000000000000001,25,30
0.7000000000000001,26,44
0.7000000000000001,27,30
0.7000000000000001,28,29
0.7000000000000001,29,26
0.7000000000000001,30,26
0.7000000000000001,31,25
0.7000000000000001,32,15
0.7000000000000001,33,23
0.7000000000000001,34,15
0.7000000000000001,35,22
0.7000000000000001,36,10
0.7000000000000001,37,14
0.7000000000000001,38,13
0.7000000000000001,39,11
0.7000000000000001,40,18
0.7000000000000001,41,13
0.7000000000000001,42,14
0.7000000000000001,43,16
0.7000000000000001,44,6
0.7000000000000001,45,13
0.7000000000000001,46,15
0.7000000000000001,47,6
0.7000000000000001,48,9
0.7000000000000001,49,7
0.7000000000000001,50,9
0.7000000000000001,51,7
0.7000000000000001,52,7
0.7000000000000001,53,6
0.7000000000000001,54,4
0.7000000000000001,55,2
0.7000000000000001,56,3
0.7000000000000001,57,3
0.7000000000000001,58,2
0.7000000000000001,59,3
0.7000000000000001,60,2
0.7000000000000001,61,5
0.7000000000000001,62,2
0.7000000000000001,63,3
0.7000000000000001,64,2
0.7000000000000001,65,2
0.7000000000000001,66,3
0.7000000000000001,67,2
0.7000000000000001,68,2
0.7000000000000001,69,4
0.7000000000000001,70,1
0.7000000000000001,71,4
0.7000000000000001,72,3
0.7000000000000001,73,3
0.7000000000000001,74,2
0.7000000000000001,75,3
0.7000000000000001,76,1
0.7000000000000001,77,5
0.7000000000000001,78,3
0.7000000000000001,81,1
0.7000000000000001,82,1
0.7000000000000001,83,1
0.7000000000000001,84,1
0.7000000000000001,85,2
0.7000000000000001,86,2
0.7000000000000001,87,3
0.7000000000000001,88,2
0.7000000000000001,89,3
0.7000000000000001,92,3
0.7000000000000001,94,1
0.7000000000000001,95,5
0.7000000000000001,96,3
0.7000000000000001,97,2
0.7000000000000001,98,4
0.7000000000000001,99,2
0.7000000000000001,100,2
0.8,1,388
0.8,2,258
0.8,3,262
0.8,4,282
0.8,5,269
0.8,6,242
0.8,7,266
0.8,8,225
0.8,9,200
0.8,10,218
0.8,11,185
0.8,12,189
0.8,13,154
0.8,14,152
0.8,15,116
0.8,16,122
0.8,17,95
0.8,18,71
0.8,19,76
0.8,20,61
0.8,21,55
0.8,22,51
0.8,23,54
0.8,24,42
0.8,25,27
0.8,26,36
0.8,27,32
0.8,28,24
0.8,29,33
0.8,30,32
0.8,31,20
0.8,32,23
0.8,33,21
0.8,34,12
0.8,35,12
0.8,36,15
0.8,37,15
0.8,38,10
0.8,39,14
0.8,40,6
0.8,41,13
0.8,42,13
0.8,43,12
0.8,44,7
0.8,45,12
0.8,46,7
0.8,47,8
0.8,48,8
0.8,49,4
0.8,50,4
0.8,51,3
0.8,52,1
0.8,53,2
0.8,54,2
0.8,55,1
0.8,56,3
0.8,57,2
0.8,58,2
0.8,59,1
0.8,60,2
0.8,62,3
0.8,63,1
0.8,64,3
0.8,65,4
0.8,66,2
0.8,67,2
0.8,68,1
0.8,69,2
0.8,70,2
0.8,71,3
0.8,72,1
0.8,73,2
0.8,74,4
0.8,75,2
0.8,76,5
0.8,77,2
0.8,78,1
0.8,79,1
0.8,80,2
0.8,81,1
0.8,82,1
0.8,83,1
0.8,84,3
0.8,85,4
0.8,86,2
0.8,88,1
0.8,89,2
0.8,90,3
0.8,92,2
0.8,93,2
0.8,94,4
0.8,95,3
0.8,96,1
0.8,97,2
0.8,98,1
0.8,100,2
0.9,1,391
0.9,2,278
0.9,3,283
0.9,4,282
0.9,5,279
0.9,6,295
0.9,7,243
0.9,8,233
0.9,9,220
0.9,10,184
0.9,11,194
0.9,12,152
0.9,13,141
0.9,14,121
0.9,15,116
0.9,16,105
0.9,17,99
0.9,18,77
0.9,19,65
0.9,20,52
0.9,21,65
0.9,22,55
0.9,23,48
0.9,24,52
0.9,25,37
0.9,26,46
0.9,27,32
0.9,28,34
0.9,29,31
0.9,30,30
0.9,31,30
0.9,32,25
0.9,33,22
0.9,34,10
0.9,35,21
0.9,36,17
0.9,37,15
0.9,38,11
0.9,39,12
0.9,40,11
0.9,41,10
0.9,42,7
0.9,43,5
0.9,44,4
0.9,45,3
0.9,46,9
0.9,47,3
0.9,48,4
0.9,49,4
0.9,50,9
0.9,51,4
0.9,52,7
0.9,53,3
0.9,54,7
0.9,55,2
0.9,56,2
0.9,57,2
0.9,58,2
0.9,59,2
0.9,60,4
0.9,61,3
0.9,62,1
0.9,63,3
0.9,65,1
0.9,66,3
0.9,67,1
0.9,68,2
0.9,69,4
0.9,70,2
0.9,71,2
0.9,72,5
0.9,73,1
0.9,74,4
0.9,75,2
0.9,76,3
0.9,77,4
0.9,78,1
0.9,80,2
0.9,81,3
0.9,83,5
0.9,84,2
0.9,85,2
0.9,86,1
0.9,87,2
0.9,88,1
0.9,89,3
0.9,90,1
0.9,91,2
0.9,92,3
0.9,93,1
0.9,94,4
0.9,95,3
0.9,96,2
0.9,97,1
