Density,Travel Time,Frequency
0.6000000000000001,0,434
0.6000000000000001,1,46
0.6000000000000001,2,51
0.6000000000000001,3,41
0.6000000000000001,4,57
0.6000000000000001,5,63
0.6000000000000001,6,57
0.6000000000000001,7,43
0.6000000000000001,8,50
0.6000000000000001,9,52
0.6000000000000001,10,51
0.6000000000000001,11,62
0.6000000000000001,12,51
0.6000000000000001,13,52
0.6000000000000001,14,48
0.6000000000000001,15,57
0.6000000000000001,16,48
0.6000000000000001,17,60
0.6000000000000001,18,49
0.6000000000000001,19,43
0.6000000000000001,20,65
0.6000000000000001,21,49
0.6000000000000001,22,28
0.6000000000000001,23,54
0.6000000000000001,24,58
0.6000000000000001,25,45
0.6000000000000001,26,58
0.6000000000000001,27,52
0.6000000000000001,28,55
0.6000000000000001,29,43
0.6000000000000001,30,51
0.6000000000000001,31,51
0.6000000000000001,32,60
0.6000000000000001,33,56
0.6000000000000001,34,57
0.6000000000000001,35,57
0.6000000000000001,36,61
0.6000000000000001,37,42
0.6000000000000001,38,60
0.6000000000000001,39,52
0.6000000000000001,40,49
0.6000000000000001,41,59
0.6000000000000001,42,68
0.6000000000000001,43,63
0.6000000000000001,44,39
0.6000000000000001,45,35
0.6000000000000001,46,61
0.6000000000000001,47,39
0.6000000000000001,48,40
0.6000000000000001,49,51
0.6000000000000001,50,46
0.6000000000000001,51,47
0.6000000000000001,52,44
0.6000000000000001,53,41
0.6000000000000001,54,47
0.6000000000000001,55,58
0.6000000000000001,56,40
0.6000000000000001,57,44
0.6000000000000001,58,58
0.6000000000000001,59,48
0.6000000000000001,60,48
0.6000000000000001,61,43
0.6000000000000001,62,40
0.6000000000000001,63,35
0.6000000000000001,64,41
0.6000000000000001,65,36
0.6000000000000001,66,35
0.6000000000000001,67,41
0.6000000000000001,68,54
0.6000000000000001,69,52
0.6000000000000001,70,40
0.6000000000000001,71,39
0.6000000000000001,72,31
0.6000000000000001,73,48
0.6000000000000001,74,35
0.6000000000000001,75,46
0.6000000000000001,76,40
0.6000000000000001,77,43
0.6000000000000001,78,35
0.6000000000000001,79,31
0.6000000000000001,80,34
0.6000000000000001,81,21
0.6000000000000001,82,22
0.6000000000000001,83,30
0.6000000000000001,84,24
0.6000000000000001,85,27
0.6000000000000001,86,23
0.6000000000000001,87,16
0.6000000000000001,88,17
0.6000000000000001,89,14
0.6000000000000001,90,14
0.6000000000000001,91,8
0.6000000000000001,92,16
0.6000000000000001,93,7
0.6000000000000001,94,5
0.6000000000000001,95,7
0.6000000000000001,96,1
0.6000000000000001,97,2
0.7000000000000001,0,437
0.7000000000000001,1,34
0.7000000000000001,2,39
0.7000000000000001,3,41
0.7000000000000001,4,55
0.7000000000000001,5,55
0.7000000000000001,6,52
0.7000000000000001,7,56
0.7000000000000001,8,47
0.7000000000000001,9,59
0.7000000000000001,10,55
0.7000000000000001,11,38
0.7000000000000001,12,53
0.7000000000000001,13,43
0.7000000000000001,14,47
0.7000000000000001,15,49
0.7000000000000001,16,56
0.7000000000000001,17,43
0.7000000000000001,18,48
0.7000000000000001,19,43
0.7000000000000001,20,54
0.7000000000000001,21,67
0.7000000000000001,22,49
0.7000000000000001,23,46
0.7000000000000001,24,52
0.7000000000000001,25,58
0.7000000000000001,26,42
0.7000000000000001,27,56
0.7000000000000001,28,52
0.7000000000000001,29,48
0.7000000000000001,30,52
0.7000000000000001,31,61
0.7000000000000001,32,42
0.7000000000000001,33,53
0.7000000000000001,34,41
0.7000000000000001,35,44
0.7000000000000001,36,56
0.7000000000000001,37,55
0.7000000000000001,38,44
0.7000000000000001,39,54
0.7000000000000001,40,46
0.7000000000000001,41,52
0.7000000000000001,42,47
0.7000000000000001,43,47
0.7000000000000001,44,57
0.7000000000000001,45,47
0.7000000000000001,46,39
0.7000000000000001,47,45
0.7000000000000001,48,45
0.7000000000000001,49,49
0.7000000000000001,50,39
0.7000000000000001,51,51
0.7000000000000001,52,53
0.7000000000000001,53,42
0.7000000000000001,54,37
0.7000000000000001,55,50
0.7000000000000001,56,51
0.7000000000000001,57,46
0.7000000000000001,58,47
0.7000000000000001,59,50
0.7000000000000001,60,49
