Timestep,Road_number,Vehicle_density,Vehicles_Exiting
114,3,0.62,2
114,4,4.2,3
114,5,0.84,0
114,6,0.82,0
114,7,0.76,0
115,1,0.6,1
115,2,0.54,0
115,3,0.62,3
115,4,3.8,1
115,5,0.86,0
115,6,0.84,0
115,7,0.78,0
116,1,0.6,1
116,2,0.54,2
116,3,0.64,0
116,4,4.4,0
116,5,0.86,0
116,6,0.84,0
116,7,0.8,0
117,1,0.6,2
117,2,0.54,1
117,3,0.64,0
117,4,5.0,0
117,5,0.86,0
117,6,0.84,0
117,7,0.8,0
118,1,0.6,2
118,2,0.54,1
118,3,0.64,2
118,4,5.6,1
118,5,0.86,0
118,6,0.84,0
118,7,0.8,0
119,1,0.6,3
119,2,0.54,1
119,3,0.66,1
119,4,5.8,0
119,5,0.86,0
119,6,0.84,0
119,7,0.82,0
120,1,0.6,0
120,2,0.54,3
120,3,0.66,2
120,4,6.8,1
120,5,0.86,0
120,6,0.84,0
120,7,0.82,0
121,1,0.6,1
121,2,0.54,1
121,3,0.66,0
121,4,7.4,1
121,5,0.88,0
121,6,0.84,0
121,7,0.82,0
122,1,0.6,0
122,2,0.54,1
122,3,0.66,1
122,4,7.0,0
122,5,0.88,0
122,6,0.86,0
122,7,0.82,0
123,1,0.6,0
123,2,0.54,1
123,3,0.66,2
123,4,7.4,1
123,5,0.88,0
123,6,0.86,0
123,7,0.82,0
124,1,0.6,1
124,2,0.54,1
124,3,0.66,1
124,4,7.2,1
124,5,0.88,0
124,6,0.88,0
124,7,0.82,0
125,1,0.62,2
125,2,0.54,0
125,3,0.66,2
125,4,6.8,1
125,5,0.88,0
125,6,0.88,0
125,7,0.84,0
126,1,0.62,1
126,2,0.54,1
126,3,0.66,0
126,4,6.8,0
126,5,0.88,0
126,6,0.9,0
126,7,0.84,0
127,1,0.62,0
127,2,0.54,1
127,3,0.66,3
127,4,7.2,0
127,5,0.88,0
127,6,0.9,0
127,7,0.84,0
128,1,0.62,1
128,2,0.54,1
128,3,0.66,1
128,4,8.0,1
128,5,0.88,0
128,6,0.9,0
128,7,0.84,0
129,1,0.64,0
129,2,0.54,1
129,3,0.66,1
129,4,8.0,1
129,5,0.9,0
129,6,0.9,0
129,7,0.84,0
130,1,0.64,1
130,2,0.56,3
130,3,0.66,0
